timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz]
2026/08/15 03:35:19.995, 0 %, 0 MiB, 31.29 W, 31, 180 MHz
2026/08/15 03:35:25.005, 0 %, 0 MiB, 31.67 W, 31, 180 MHz
2026/08/15 03:35:30.005, 0 %, 3 MiB, 32.49 W, 31, 180 MHz
2026/08/15 03:35:35.006, 0 %, 3 MiB, 31.74 W, 31, 180 MHz
2026/08/15 03:35:40.007, 0 %, 3 MiB, 32.19 W, 31, 180 MHz
2026/08/15 03:35:45.007, 0 %, 1583 MiB, 85.29 W, 33, 2347 MHz
2026/08/15 03:35:50.008, 16 %, 31451 MiB, 91.21 W, 34, 2347 MHz
2026/08/15 03:35:55.009, 0 %, 88373 MiB, 86.62 W, 34, 2347 MHz
2026/08/15 03:36:00.009, 0 %, 88437 MiB, 87.41 W, 34, 2347 MHz
2026/08/15 03:36:05.010, 0 %, 88437 MiB, 86.19 W, 35, 2347 MHz
2026/08/15 03:36:10.011, 0 %, 88437 MiB, 86.17 W, 35, 2347 MHz
2026/08/15 03:36:15.011, 0 %, 88437 MiB, 86.52 W, 35, 2340 MHz
2026/08/15 03:36:20.012, 0 %, 88437 MiB, 86.58 W, 35, 2332 MHz
2026/08/15 03:36:25.013, 0 %, 88437 MiB, 86.60 W, 35, 2332 MHz
2026/08/15 03:36:30.013, 0 %, 88437 MiB, 85.91 W, 35, 2332 MHz
2026/08/15 03:36:35.014, 0 %, 88437 MiB, 85.77 W, 35, 2332 MHz
2026/08/15 03:36:40.015, 0 %, 88437 MiB, 86.35 W, 35, 2340 MHz
2026/08/15 03:36:45.016, 0 %, 88437 MiB, 86.51 W, 35, 2332 MHz
2026/08/15 03:36:50.016, 0 %, 88437 MiB, 86.68 W, 35, 2340 MHz
2026/08/15 03:36:55.017, 0 %, 88437 MiB, 86.34 W, 35, 2340 MHz
2026/08/15 03:37:00.018, 0 %, 88437 MiB, 86.79 W, 35, 2332 MHz
2026/08/15 03:37:05.019, 0 %, 88437 MiB, 86.78 W, 35, 2332 MHz
2026/08/15 03:37:10.020, 0 %, 88437 MiB, 87.21 W, 35, 2332 MHz
2026/08/15 03:37:15.021, 0 %, 88437 MiB, 86.72 W, 35, 2340 MHz
2026/08/15 03:37:20.021, 6 %, 88919 MiB, 98.19 W, 37, 2340 MHz
