timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz]
2026/08/15 01:46:21.305, 0 %, 0 MiB, 30.80 W, 30, 180 MHz
2026/08/15 01:46:26.315, 0 %, 0 MiB, 29.67 W, 30, 180 MHz
2026/08/15 01:46:31.316, 0 %, 3 MiB, 30.70 W, 30, 180 MHz
2026/08/15 01:46:36.316, 0 %, 3 MiB, 30.96 W, 30, 180 MHz
2026/08/15 01:46:41.317, 0 %, 3 MiB, 29.68 W, 30, 180 MHz
2026/08/15 01:46:46.318, 0 %, 1583 MiB, 86.95 W, 32, 2347 MHz
2026/08/15 01:46:51.318, 12 %, 31451 MiB, 90.02 W, 33, 2347 MHz
2026/08/15 01:46:56.319, 0 %, 88373 MiB, 86.78 W, 33, 2347 MHz
2026/08/15 01:47:01.319, 0 %, 88437 MiB, 86.99 W, 33, 2347 MHz
2026/08/15 01:47:06.320, 0 %, 88437 MiB, 87.33 W, 33, 2347 MHz
2026/08/15 01:47:11.320, 0 %, 88437 MiB, 86.85 W, 34, 2347 MHz
2026/08/15 01:47:16.321, 0 %, 88437 MiB, 87.14 W, 34, 2347 MHz
2026/08/15 01:47:21.321, 0 %, 88437 MiB, 87.45 W, 34, 2347 MHz
2026/08/15 01:47:26.322, 0 %, 88437 MiB, 87.87 W, 34, 2347 MHz
2026/08/15 01:47:31.322, 0 %, 88437 MiB, 87.39 W, 34, 2347 MHz
2026/08/15 01:47:36.323, 0 %, 88437 MiB, 87.43 W, 34, 2347 MHz
2026/08/15 01:47:41.324, 0 %, 88437 MiB, 87.87 W, 34, 2347 MHz
2026/08/15 01:47:46.324, 0 %, 88437 MiB, 87.45 W, 34, 2347 MHz
2026/08/15 01:47:51.325, 0 %, 88437 MiB, 87.91 W, 34, 2347 MHz
2026/08/15 01:47:56.325, 0 %, 88437 MiB, 87.81 W, 34, 2347 MHz
2026/08/15 01:48:01.326, 0 %, 88437 MiB, 87.57 W, 34, 2347 MHz
2026/08/15 01:48:06.326, 0 %, 88437 MiB, 87.33 W, 34, 2347 MHz
2026/08/15 01:48:11.327, 0 %, 88437 MiB, 87.60 W, 34, 2347 MHz
2026/08/15 01:48:16.327, 0 %, 88919 MiB, 107.02 W, 35, 2332 MHz
2026/08/15 01:48:21.328, 0 %, 88919 MiB, 109.24 W, 35, 2332 MHz
2026/08/15 01:48:26.329, 0 %, 88919 MiB, 86.48 W, 35, 2332 MHz
2026/08/15 01:48:31.329, 0 %, 88919 MiB, 86.03 W, 35, 2332 MHz
2026/08/15 01:48:36.330, 61 %, 89421 MiB, 435.85 W, 48, 2362 MHz
2026/08/15 01:48:41.330, 45 %, 89693 MiB, 229.74 W, 40, 2295 MHz
2026/08/15 01:48:46.331, 2 %, 89933 MiB, 111.29 W, 38, 2325 MHz
2026/08/15 01:48:51.331, 30 %, 89689 MiB, 135.01 W, 39, 2325 MHz
2026/08/15 01:48:56.332, 0 %, 89865 MiB, 88.18 W, 37, 2340 MHz
2026/08/15 01:49:01.332, 0 %, 90053 MiB, 94.88 W, 36, 2332 MHz
2026/08/15 01:49:06.333, 0 %, 90205 MiB, 89.31 W, 36, 2332 MHz
2026/08/15 01:49:11.333, 100 %, 90205 MiB, 342.08 W, 43, 2332 MHz
2026/08/15 01:49:16.334, 100 %, 90205 MiB, 342.97 W, 45, 2332 MHz
2026/08/15 01:49:21.334, 100 %, 90205 MiB, 316.25 W, 45, 2422 MHz
2026/08/15 01:49:26.335, 100 %, 90205 MiB, 312.65 W, 46, 2422 MHz
2026/08/15 01:49:31.335, 100 %, 90205 MiB, 313.59 W, 46, 2422 MHz
2026/08/15 01:49:36.336, 100 %, 90205 MiB, 347.24 W, 47, 2355 MHz
2026/08/15 01:49:41.336, 100 %, 90349 MiB, 314.54 W, 47, 2422 MHz
2026/08/15 01:49:46.337, 100 %, 90349 MiB, 315.04 W, 47, 2422 MHz
2026/08/15 01:49:51.337, 100 %, 90349 MiB, 315.45 W, 48, 2422 MHz
2026/08/15 01:49:56.338, 100 %, 90349 MiB, 316.08 W, 48, 2422 MHz
2026/08/15 01:50:01.338, 100 %, 90349 MiB, 315.90 W, 48, 2422 MHz
2026/08/15 01:50:06.339, 100 %, 90349 MiB, 316.43 W, 49, 2422 MHz
2026/08/15 01:50:11.339, 100 %, 90349 MiB, 312.66 W, 49, 2422 MHz
2026/08/15 01:50:16.340, 100 %, 90349 MiB, 317.15 W, 49, 2422 MHz
2026/08/15 01:50:21.340, 100 %, 90349 MiB, 316.87 W, 49, 2422 MHz
2026/08/15 01:50:26.341, 100 %, 90349 MiB, 317.52 W, 49, 2422 MHz
2026/08/15 01:50:31.341, 100 %, 90349 MiB, 317.36 W, 49, 2422 MHz
2026/08/15 01:50:36.342, 100 %, 90349 MiB, 317.64 W, 50, 2422 MHz
2026/08/15 01:50:41.342, 100 %, 90349 MiB, 317.83 W, 50, 2422 MHz
2026/08/15 01:50:46.343, 100 %, 91791 MiB, 333.28 W, 50, 2422 MHz
2026/08/15 01:50:51.343, 100 %, 91791 MiB, 336.79 W, 51, 2422 MHz
2026/08/15 01:50:56.344, 100 %, 91791 MiB, 337.43 W, 51, 2422 MHz
2026/08/15 01:51:01.344, 100 %, 92943 MiB, 334.38 W, 51, 2422 MHz
2026/08/15 01:51:06.344, 100 %, 92943 MiB, 335.01 W, 51, 2422 MHz
2026/08/15 01:51:11.345, 68 %, 94239 MiB, 322.79 W, 52, 2422 MHz
