timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz]
2026/08/15 02:17:16.149, 0 %, 0 MiB, 31.87 W, 31, 180 MHz
2026/08/15 02:17:21.159, 0 %, 0 MiB, 31.63 W, 31, 180 MHz
2026/08/15 02:17:26.159, 0 %, 3 MiB, 32.46 W, 31, 180 MHz
2026/08/15 02:17:31.160, 0 %, 3 MiB, 30.90 W, 31, 180 MHz
2026/08/15 02:17:36.161, 0 %, 3 MiB, 31.14 W, 31, 172 MHz
2026/08/15 02:17:41.165, 0 %, 1583 MiB, 84.01 W, 33, 2332 MHz
2026/08/15 02:17:46.165, 15 %, 31451 MiB, 88.73 W, 34, 2340 MHz
2026/08/15 02:17:51.166, 0 %, 88373 MiB, 84.01 W, 34, 2332 MHz
2026/08/15 02:17:56.166, 0 %, 88437 MiB, 83.06 W, 34, 2332 MHz
2026/08/15 02:18:01.167, 0 %, 88437 MiB, 83.52 W, 34, 2332 MHz
2026/08/15 02:18:06.171, 0 %, 88437 MiB, 84.50 W, 34, 2332 MHz
2026/08/15 02:18:11.171, 0 %, 88437 MiB, 83.76 W, 35, 2332 MHz
2026/08/15 02:18:16.172, 0 %, 88437 MiB, 83.76 W, 35, 2332 MHz
2026/08/15 02:18:21.173, 0 %, 88437 MiB, 84.50 W, 35, 2332 MHz
2026/08/15 02:18:26.173, 0 %, 88437 MiB, 84.42 W, 35, 2332 MHz
2026/08/15 02:18:31.174, 0 %, 88437 MiB, 83.76 W, 35, 2332 MHz
2026/08/15 02:18:36.174, 0 %, 88437 MiB, 84.25 W, 35, 2332 MHz
2026/08/15 02:18:41.175, 0 %, 88437 MiB, 84.50 W, 35, 2332 MHz
2026/08/15 02:18:46.175, 0 %, 88437 MiB, 84.54 W, 35, 2332 MHz
2026/08/15 02:18:51.176, 0 %, 88437 MiB, 84.06 W, 35, 2332 MHz
2026/08/15 02:18:56.176, 0 %, 88437 MiB, 83.76 W, 35, 2332 MHz
2026/08/15 02:19:01.177, 0 %, 88437 MiB, 84.06 W, 35, 2332 MHz
2026/08/15 02:19:06.178, 0 %, 88437 MiB, 84.11 W, 35, 2332 MHz
2026/08/15 02:19:11.178, 0 %, 88919 MiB, 95.84 W, 35, 2332 MHz
2026/08/15 02:19:16.179, 0 %, 88919 MiB, 85.78 W, 36, 2332 MHz
2026/08/15 02:19:21.179, 0 %, 88919 MiB, 85.96 W, 35, 2332 MHz
2026/08/15 02:19:26.180, 0 %, 88919 MiB, 84.50 W, 35, 2332 MHz
2026/08/15 02:19:31.180, 77 %, 89479 MiB, 359.01 W, 41, 2370 MHz
2026/08/15 02:19:36.181, 12 %, 89721 MiB, 191.82 W, 42, 2302 MHz
2026/08/15 02:19:41.181, 10 %, 89947 MiB, 108.56 W, 39, 2325 MHz
2026/08/15 02:19:46.182, 18 %, 89691 MiB, 134.80 W, 39, 2317 MHz
2026/08/15 02:19:51.182, 0 %, 89865 MiB, 86.27 W, 37, 2332 MHz
2026/08/15 02:19:56.183, 0 %, 90053 MiB, 93.46 W, 37, 2332 MHz
2026/08/15 02:20:01.183, 0 %, 90205 MiB, 86.05 W, 37, 2332 MHz
2026/08/15 02:20:06.184, 100 %, 90205 MiB, 331.99 W, 43, 2332 MHz
2026/08/15 02:20:11.185, 100 %, 90205 MiB, 319.54 W, 44, 2422 MHz
2026/08/15 02:20:16.185, 100 %, 90205 MiB, 310.23 W, 45, 2422 MHz
2026/08/15 02:20:21.186, 100 %, 90205 MiB, 308.85 W, 46, 2422 MHz
2026/08/15 02:20:26.186, 100 %, 90205 MiB, 309.99 W, 47, 2422 MHz
2026/08/15 02:20:31.187, 0 %, 90205 MiB, 234.86 W, 44, 2422 MHz
2026/08/15 02:20:36.187, 100 %, 90349 MiB, 311.05 W, 48, 2422 MHz
2026/08/15 02:20:41.188, 100 %, 90349 MiB, 311.18 W, 48, 2422 MHz
2026/08/15 02:20:46.188, 100 %, 90349 MiB, 311.86 W, 49, 2422 MHz
2026/08/15 02:20:51.189, 100 %, 90349 MiB, 317.28 W, 49, 2422 MHz
2026/08/15 02:20:56.189, 100 %, 90349 MiB, 312.73 W, 49, 2422 MHz
2026/08/15 02:21:01.190, 100 %, 90349 MiB, 312.99 W, 50, 2422 MHz
2026/08/15 02:21:06.190, 100 %, 90349 MiB, 313.03 W, 50, 2422 MHz
2026/08/15 02:21:11.191, 100 %, 90349 MiB, 313.41 W, 50, 2422 MHz
2026/08/15 02:21:16.191, 100 %, 90349 MiB, 313.50 W, 50, 2422 MHz
2026/08/15 02:21:21.192, 100 %, 90349 MiB, 318.53 W, 50, 2422 MHz
2026/08/15 02:21:26.192, 100 %, 90349 MiB, 318.72 W, 51, 2422 MHz
2026/08/15 02:21:31.193, 100 %, 90349 MiB, 313.95 W, 51, 2422 MHz
2026/08/15 02:21:36.193, 100 %, 90349 MiB, 313.89 W, 51, 2422 MHz
2026/08/15 02:21:41.194, 100 %, 90349 MiB, 314.44 W, 51, 2422 MHz
2026/08/15 02:21:46.194, 100 %, 90349 MiB, 319.36 W, 51, 2422 MHz
2026/08/15 02:21:51.195, 100 %, 90349 MiB, 314.56 W, 51, 2422 MHz
2026/08/15 02:21:56.195, 100 %, 90349 MiB, 314.20 W, 51, 2422 MHz
2026/08/15 02:22:01.196, 100 %, 90349 MiB, 312.29 W, 51, 2422 MHz
2026/08/15 02:22:06.196, 100 %, 90349 MiB, 314.61 W, 51, 2422 MHz
