timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz]
2026/08/15 01:14:21.194, 0 %, 0 MiB, 30.36 W, 30, 180 MHz
2026/08/15 01:14:26.204, 0 %, 0 MiB, 30.85 W, 30, 180 MHz
2026/08/15 01:14:31.205, 0 %, 3 MiB, 32.02 W, 30, 180 MHz
2026/08/15 01:14:36.205, 0 %, 3 MiB, 30.33 W, 30, 180 MHz
2026/08/15 01:14:41.206, 0 %, 3 MiB, 32.50 W, 30, 180 MHz
2026/08/15 01:14:46.207, 0 %, 1583 MiB, 85.40 W, 32, 2347 MHz
2026/08/15 01:14:51.207, 11 %, 31451 MiB, 90.04 W, 33, 2347 MHz
2026/08/15 01:14:56.208, 0 %, 88373 MiB, 86.70 W, 33, 2347 MHz
2026/08/15 01:15:01.209, 0 %, 88437 MiB, 86.58 W, 33, 2347 MHz
2026/08/15 01:15:06.209, 0 %, 88437 MiB, 85.40 W, 33, 2347 MHz
2026/08/15 01:15:11.210, 0 %, 88437 MiB, 86.31 W, 34, 2347 MHz
2026/08/15 01:15:16.210, 0 %, 88437 MiB, 85.88 W, 34, 2347 MHz
2026/08/15 01:15:21.211, 0 %, 88437 MiB, 86.11 W, 34, 2347 MHz
2026/08/15 01:15:26.212, 0 %, 88437 MiB, 86.46 W, 34, 2347 MHz
2026/08/15 01:15:31.212, 0 %, 88437 MiB, 86.45 W, 34, 2347 MHz
2026/08/15 01:15:36.213, 0 %, 88437 MiB, 86.65 W, 34, 2347 MHz
2026/08/15 01:15:41.213, 0 %, 88437 MiB, 86.32 W, 34, 2347 MHz
2026/08/15 01:15:46.214, 0 %, 88437 MiB, 88.24 W, 34, 2347 MHz
2026/08/15 01:15:51.215, 0 %, 88437 MiB, 86.75 W, 34, 2347 MHz
2026/08/15 01:15:56.215, 0 %, 88437 MiB, 85.86 W, 34, 2347 MHz
2026/08/15 01:16:01.216, 0 %, 88437 MiB, 86.07 W, 34, 2347 MHz
2026/08/15 01:16:06.217, 0 %, 88437 MiB, 85.88 W, 34, 2347 MHz
2026/08/15 01:16:11.217, 0 %, 88437 MiB, 86.37 W, 34, 2347 MHz
2026/08/15 01:16:16.218, 0 %, 88919 MiB, 106.25 W, 35, 2332 MHz
2026/08/15 01:16:21.218, 0 %, 88919 MiB, 88.93 W, 35, 2332 MHz
2026/08/15 01:16:26.219, 0 %, 88919 MiB, 86.97 W, 35, 2332 MHz
2026/08/15 01:16:31.220, 0 %, 88919 MiB, 87.55 W, 35, 2332 MHz
2026/08/15 01:16:36.220, 99 %, 89395 MiB, 337.75 W, 49, 2355 MHz
2026/08/15 01:16:41.221, 17 %, 89643 MiB, 241.44 W, 44, 2310 MHz
2026/08/15 01:16:46.221, 28 %, 89889 MiB, 156.31 W, 39, 2310 MHz
2026/08/15 01:16:51.222, 0 %, 89581 MiB, 93.62 W, 37, 2340 MHz
2026/08/15 01:16:56.222, 0 %, 89903 MiB, 95.09 W, 38, 2332 MHz
2026/08/15 01:17:01.223, 100 %, 89923 MiB, 91.48 W, 37, 2332 MHz
2026/08/15 01:17:06.224, 0 %, 89925 MiB, 88.31 W, 36, 2332 MHz
2026/08/15 01:17:11.224, 100 %, 90207 MiB, 333.05 W, 42, 2332 MHz
2026/08/15 01:17:16.225, 100 %, 90207 MiB, 342.69 W, 44, 2332 MHz
2026/08/15 01:17:21.225, 100 %, 90207 MiB, 315.97 W, 45, 2422 MHz
2026/08/15 01:17:26.226, 100 %, 90207 MiB, 312.26 W, 45, 2422 MHz
2026/08/15 01:17:31.226, 100 %, 90351 MiB, 313.12 W, 46, 2422 MHz
2026/08/15 01:17:36.227, 100 %, 90351 MiB, 313.70 W, 46, 2422 MHz
2026/08/15 01:17:41.227, 100 %, 90351 MiB, 314.56 W, 47, 2422 MHz
2026/08/15 01:17:46.228, 100 %, 90351 MiB, 314.92 W, 47, 2422 MHz
2026/08/15 01:17:51.229, 100 %, 90351 MiB, 310.39 W, 48, 2422 MHz
2026/08/15 01:17:56.229, 100 %, 90351 MiB, 315.60 W, 48, 2422 MHz
2026/08/15 01:18:01.230, 100 %, 90351 MiB, 321.20 W, 49, 2422 MHz
2026/08/15 01:18:06.230, 100 %, 90351 MiB, 316.29 W, 49, 2422 MHz
2026/08/15 01:18:11.231, 100 %, 90351 MiB, 316.73 W, 49, 2422 MHz
2026/08/15 01:18:16.231, 100 %, 90351 MiB, 317.14 W, 49, 2422 MHz
2026/08/15 01:18:21.232, 100 %, 90351 MiB, 317.04 W, 49, 2422 MHz
2026/08/15 01:18:26.232, 100 %, 90351 MiB, 317.29 W, 49, 2422 MHz
2026/08/15 01:18:31.233, 100 %, 90351 MiB, 322.32 W, 50, 2422 MHz
2026/08/15 01:18:36.233, 60 %, 91791 MiB, 312.60 W, 50, 2422 MHz
2026/08/15 01:18:41.234, 100 %, 91791 MiB, 334.33 W, 50, 2422 MHz
2026/08/15 01:18:46.234, 100 %, 91791 MiB, 335.13 W, 51, 2422 MHz
2026/08/15 01:18:51.235, 100 %, 93087 MiB, 334.33 W, 51, 2422 MHz
2026/08/15 01:18:56.236, 100 %, 93087 MiB, 334.91 W, 51, 2422 MHz
2026/08/15 01:19:01.236, 100 %, 93087 MiB, 335.23 W, 51, 2422 MHz
2026/08/15 01:19:06.237, 100 %, 93087 MiB, 338.69 W, 51, 2422 MHz
2026/08/15 01:19:11.237, 100 %, 93087 MiB, 339.70 W, 51, 2422 MHz
2026/08/15 01:19:16.238, 100 %, 93087 MiB, 340.12 W, 51, 2422 MHz
